     Yi/Gi      Z/B      Cr/U2     Cu/U2  
    .13169    .27500    .22533    .31176
    .16352    .27500    .17695    .20756
    .17944    .27500    .11523    .21539
    .18740    .27500    .09299    .21710
    .19535    .27500    .08004    .23023
    .20331    .27500    .06517    .24144
    .20745    .27500    .06289    .24858
    .21127    .27500    .05939    .25514
    .21541    .27500    .05598    .25793
    .21923    .27500    .05224    .26083
    .22718    .27500    .03438    .28280
    .24310    .27500    .01632    .32694
    .25901    .27500    .01731    .39580
    .27493    .27500    .02364    .47807
    .29085    .27500    .04666    .55368
    .30676    .27500    .06557    .56803
    .32268    .27500    .06682    .56098
    .35451    .27500    .05556    .54211
    .38634    .27500    .07422    .51687
    .41817    .27500    .12859    .46521
    .43408    .27500    .15893    .43298
    .45000    .27500    .18691    .40174
    .51449    .27500    .18286    .37374
    .55110    .27500    .15157    .36973
    .58770    .27500    .14802    .35057
    .61953    .27500    .16112    .33702
    .63545    .27500    .16467    .33779
    .65136    .27500    .16609    .34220
    .66728    .27500    .15826    .35211
    .68319    .27500    .14933    .36152
    .71502    .27500    .12903    .37182
    .74686    .27500    .11499    .37900
    .76277    .27500    .11162    .37003
    .77073    .27500    .10409    .36925
    .77869    .27500    .09980    .36295
    .78664    .27500    .08598    .35687
    .79078    .27500    .08853    .34835
    .79460    .27500    .09099    .34054
    .79874    .27500    .09062    .33460
    .80256    .27500    .09086    .32874
    .81052    .27500    .09789    .31454
    .82643    .27500    .12645    .29726
    .84235    .27500    .14771    .29758
    .85826    .27500    .16489    .30777
    .87418    .27500    .17329    .32037
    .89009    .27500    .17795    .32935
    .90601    .27500    .18399    .33793
    .93784    .27500    .19113    .35476
    .96967    .27500    .19751    .37390
   1.00150    .27500    .20837    .38435
   1.01742    .27500    .21076    .38633
   1.03333    .27500    .21197    .38501
   1.09782    .27500    .20874    .34875
   1.13443    .27500    .21168    .30790
   1.17103    .27500    .16305    .23761
   1.20286    .27500    .07087    .28930
   1.21878    .27500    .06070    .33455
   1.23470    .27500    .06568    .37689
   1.25061    .27500    .05748    .42222
   1.26653    .27500    .03643    .46161
   1.29836    .27500   -.01528    .49112
   1.33019    .27500    .00906    .50917
   1.34610    .27500    .03171    .55208
   1.35406    .27500    .04240    .57161
   1.36202    .27500    .06253    .59791
   1.36998    .27500    .04592    .58901
   1.37412    .27500    .05814    .58831
   1.37793    .27500    .07066    .58466
   1.38207    .27500    .07024    .58291
   1.38589    .27500    .06808    .58139
   1.39385    .27500    .08679    .56326
   1.40977    .27500    .07224    .52551
   1.42568    .27500    .06375    .50300
   1.44160    .27500    .05576    .47636
   1.45751    .27500    .05008    .46211
   1.47343    .27500    .05133    .44605
   1.48934    .27500    .07179    .42616
   1.52117    .27500    .15739    .35423
   1.55300    .27500    .21755    .31047
   1.58484    .27500    .18997    .33272
   1.60075    .27500    .17715    .34102
   1.61667    .27500    .16521    .34766
   1.68116    .27500    .14134    .35374
   1.71776    .27500    .15104    .34632
   1.75437    .27500    .16340    .35331
   1.78620    .27500    .15901    .36962
   1.80211    .27500    .15656    .37664
   1.81803    .27500    .15429    .38263
   1.83394    .27500    .14748    .38530
   1.84986    .27500    .14147    .38614
   1.88169    .27500    .14932    .38375
   1.91352    .27500    .13853    .39073
   1.92944    .27500    .13851    .39024
   1.93739    .27500    .13327    .38534
   1.94535    .27500    .13247    .38500
   1.95331    .27500    .12801    .37979
   1.95745    .27500    .13141    .38025
   1.96127    .27500    .13447    .38053
   1.96541    .27500    .13779    .37313
   1.96923    .27500    .14211    .36588
   1.97718    .27500    .14082    .36450
    .00437    .35000    .21425    .42835
    .03620    .35000    .22167    .42575
    .05211    .35000    .22790    .42106
    .06803    .35000    .23301    .41399
    .08394    .35000    .23491    .40033
    .09986    .35000    .23727    .38207
    .13169    .35000    .23627    .31305
    .16352    .35000    .18199    .22882
    .17944    .35000    .12631    .23531
    .18739    .35000    .09084    .25049
    .19535    .35000    .08077    .25747
    .20331    .35000    .07341    .27184
    .20745    .35000    .06557    .27721
    .21127    .35000    .05781    .28221
    .21541    .35000    .05175    .28140
    .21923    .35000    .04434    .28043
    .22718    .35000    .04537    .30181
    .24310    .35000    .01700    .35746
    .25901    .35000   -.00045    .43182
    .27493    .35000    .02324    .50155
    .29085    .35000    .03679    .57178
    .30676    .35000    .07137    .58540
    .32268    .35000    .08407    .58581
    .35451    .35000    .05847    .54059
    .38634    .35000    .03307    .49925
    .41817    .35000    .11258    .45101
    .43408    .35000    .16999    .40767
    .45000    .35000    .22782    .36301
    .51449    .35000    .18257    .37675
    .55109    .35000    .14542    .38162
    .58770    .35000    .13247    .36878
    .61953    .35000    .15300    .34812
    .63545    .35000    .16230    .34561
    .65136    .35000    .16732    .34956
    .66728    .35000    .16165    .35755
    .68319    .35000    .15304    .36621
    .71502    .35000    .14137    .37824
    .74686    .35000    .12152    .38331
    .76277    .35000    .11138    .37832
    .77073    .35000    .10783    .37576
    .77869    .35000    .10160    .37096
    .78664    .35000    .10121    .36288
    .79078    .35000    .09694    .35789
    .79460    .35000    .09230    .35343
    .79874    .35000    .08489    .34751
    .80256    .35000    .07821    .34131
    .81052    .35000    .09653    .32621
    .82643    .35000    .12300    .31072
    .84235    .35000    .14583    .31145
    .85826    .35000    .16201    .31303
    .87418    .35000    .16779    .33597
    .89009    .35000    .17770    .35004
    .90601    .35000    .18657    .36573
    .93784    .35000    .19577    .38482
    .96967    .35000    .20944    .39956
   1.00150    .35000    .22026    .40636
   1.01742    .35000    .22487    .40777
   1.03333    .35000    .23079    .40744
   1.09782    .35000    .23633    .36962
   1.13443    .35000    .23468    .32834
   1.17103    .35000    .17739    .25565
   1.20286    .35000    .08512    .30699
   1.21878    .35000    .07304    .35496
   1.23470    .35000    .07052    .40487
   1.25061    .35000    .06261    .45063
   1.26653    .35000    .04738    .49248
   1.29836    .35000    .00823    .51358
   1.33019    .35000    .00693    .52018
   1.34610    .35000    .05021    .56288
   1.35406    .35000    .02926    .56375
   1.36202    .35000    .06025    .58638
   1.36998    .35000    .06482    .59533
   1.37412    .35000    .06946    .59532
   1.37793    .35000    .07545    .59283
   1.38207    .35000    .06907    .58169
   1.38589    .35000    .06223    .57030
   1.39385    .35000    .09604    .57642
   1.40977    .35000    .11608    .54027
   1.42568    .35000    .10912    .50518
   1.44160    .35000    .11456    .46992
   1.45751    .35000    .07733    .44380
   1.47343    .35000    .05380    .43638
   1.48934    .35000    .03728    .43012
   1.52117    .35000    .11755    .36999
   1.55300    .35000    .21127    .30800
   1.58484    .35000    .20082    .33013
   1.60075    .35000    .18797    .34435
   1.61667    .35000    .17417    .35715
   1.68116    .35000    .14516    .35998
   1.71776    .35000    .16103    .34949
   1.75437    .35000    .17457    .35473
   1.78620    .35000    .16807    .37615
   1.80211    .35000    .16225    .38643
   1.81803    .35000    .15705    .39530
   1.83394    .35000    .14730    .40018
   1.84986    .35000    .13914    .40511
   1.88169    .35000    .13706    .40663
   1.91352    .35000    .13314    .41042
   1.92944    .35000    .14157    .41590
   1.93739    .35000    .13598    .41538
   1.94535    .35000    .12994    .41046
   1.95331    .35000    .12977    .41015
   1.95745    .35000    .13158    .40798
   1.96127    .35000    .13219    .40642
   1.96541    .35000    .13152    .40065
   1.96923    .35000    .13093    .39543
   1.97718    .35000    .14328    .39102
    .00437    .42500    .21984    .43826
    .03620    .42500    .22714    .43074
    .05211    .42500    .23209    .42318
    .06803    .42500    .23656    .41290
    .08394    .42500    .23937    .40005
    .09986    .42500    .24510    .38107
    .13169    .42500    .23735    .32180
    .16352    .42500    .17343    .23299
    .17944    .42500    .10677    .26635
    .18739    .42500    .08803    .27585
    .19535    .42500    .07688    .28190
    .20331    .42500    .06537    .29820
    .20745    .42500    .06167    .30254
    .21127    .42500    .05811    .30665
