     R/R2    Teta(deg)    Cp    
    .92857    72.606    .54361
    .92857    73.425    .56307
    .92857    74.243    .57996
    .92857    75.880    .58830
    .92857    77.517    .59816
    .92857    78.336    .59956
    .92857    78.745    .59948
    .92857    79.154    .60334
    .92857    79.564    .60446
    .92857    79.777    .60452
    .92857    79.973    .60520
    .92857    80.186    .60569
    .92857    80.382    .60628
    .92857    80.791    .60542
    .92857    81.610    .60968
    .92857    82.428    .61572
    .92857    83.247    .61754
    .92857    84.066    .62449
    .92857    84.884    .62857
    .92857    85.703    .63767
    .97619    -6.262    .57449
    .97619    -4.625    .58278
    .97619    -3.807    .58778
    .97619    -3.398    .59038
    .97619    -2.988    .59342
    .97619    -2.579    .59394
    .97619    -2.366    .59460
    .97619    -2.170    .59540
    .97619    -1.957    .59361
    .97619    -1.760    .59090
    .97619    -1.351    .59207
    .97619     -.533    .59203
    .97619      .285    .58577
    .97619     1.104    .58221
    .97619     1.923    .57223
    .97619     2.741    .56432
    .97619     3.560    .54943
    .97619     5.197    .55417
    .97619     6.834    .55321
    .97619     8.471    .52508
    .97619     9.289    .50582
    .97619    10.108    .49010
    .97619    13.425    .40324
    .97619    15.307    .21666
    .97619    17.190    .20822
    .97619    18.827    .29276
    .97619    19.645    .38126
    .97619    20.464    .43085
    .97619    21.282    .44104
    .97619    22.101    .44891
    .97619    23.738    .56626
    .97619    25.375    .59287
    .97619    26.193    .58403
    .97619    26.603    .57824
    .97619    27.012    .57655
    .97619    27.421    .56772
    .97619    27.634    .56619
    .97619    27.830    .56449
    .97619    28.043    .56058
    .97619    28.240    .55769
    .97619    28.649    .55215
    .97619    29.467    .55317
    .97619    30.286    .55184
    .97619    31.104    .55357
    .97619    31.923    .54966
    .97619    32.741    .54445
    .97619    33.560    .53663
    .97619    35.197    .55058
    .97619    36.834    .56797
    .97619    38.471    .58750
    .97619    39.290    .59806
    .97619    40.108    .60834
    .97619    43.425    .57935
    .97619    45.307    .59343
    .97619    47.190    .60534
    .97619    48.827    .62393
    .97619    49.646    .62888
    .97619    50.464    .62933
    .97619    51.282    .63263
    .97619    52.101    .63351
    .97619    53.738    .63738
    .97619    55.375    .63554
    .97619    56.193    .63562
    .97619    56.603    .63959
    .97619    57.012    .63583
    .97619    57.422    .63687
    .97619    57.634    .63722
    .97619    57.830    .63737
    .97619    58.043    .63640
    .97619    58.240    .63567
    .97619    58.649    .63393
    .97619    59.468    .63238
    .97619    60.286    .62567
    .97619    61.105    .62065
    .97619    61.923    .61464
    .97619    62.742    .60900
    .97619    63.560    .60100
    .97619    65.197    .52285
    .97619    66.834    .37499
    .97619    68.472    .34769
    .97619    69.290    .42552
    .97619    70.109    .50055
    .97619    73.425    .53284
    .97619    75.308    .61283
    .97619    77.190    .66683
    .97619    78.827    .66284
    .97619    79.646    .65946
    .97619    80.464    .66019
    .97619    81.283    .66094
    .97619    82.101    .66540
    .97619    83.738    .66219
    .97619    85.375    .65454
    .97619    86.194    .65381
    .97619    86.603    .65417
    .97619    87.012    .65568
    .97619    87.422    .65766
    .97619    87.635    .65876
    .97619    87.831    .65993
    .97619    88.044    .66089
    .97619    88.240    .66195
    .97619    88.649    .66717
    .97619    89.468    .66851
    .97619    90.286    .67497
    .97619    91.105    .68146
    .97619    91.924    .69316
    .97619    92.742    .70125
    .97619    93.561    .70776
   1.01905     2.826    .55989
